fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt
NORMAND SERENADE,Mongstadbase,Offshoreinst. Nordsjøen,2022-01-04 16:30:00+00:00,2022-01-05 00:00:00+00:00
AQUA SKILSOY,Leirvik i Hyllestad,Askvoll,2022-01-04 14:15:00+00:00,2022-01-04 17:00:00+00:00
G. M. DANNEVIG,Arendal,Hirtshals,2022-01-05 05:00:00+00:00,2022-01-05 13:00:00+00:00
SYNES,Ålesund,Offshore,2022-01-05 15:00:00+00:00,2022-01-06 05:00:00+00:00
RO ARCTIC,Alta,Kjøllefjord,2022-01-04 18:00:00+00:00,2022-01-05 06:30:00+00:00
BJORG PAULINE,Stokmarknes,Innhavet,2022-01-04 20:00:00+00:00,2022-01-05 01:20:00+00:00
STADT KINN,Florø,Florø,2022-01-04 22:35:00+00:00,2022-01-05 17:15:00+00:00
ROBRIS,Florø,Rekstafjorden,2022-01-04 03:15:00+00:00,2022-01-04 15:30:00+00:00
ROSTEIN,Skjervøy,Tromsø,2022-01-03 13:35:00+00:00,2022-01-03 18:35:00+00:00
BARENTS OCEAN,Langøya,Oslo,2022-01-05 06:00:00+00:00,2022-01-05 10:00:00+00:00
MARIETJE NORA,Herøya,Frederikshavn,2022-01-06 04:00:00+00:00,2022-01-07 05:00:00+00:00
BAUS,Fredrikstad,Langøya,2022-01-05 08:30:00+00:00,2022-01-05 14:00:00+00:00
COOPER VIKING,Sandnes,Åmøyfjorden,2022-01-05 11:00:00+00:00,2022-01-05 13:00:00+00:00
WILSON DUNDALK,Stavanger Øst,Stavanger,2022-01-10 21:00:00+00:00,2022-01-10 21:40:00+00:00
HORDAFOR VII,Ålesund,Brattvåg,2022-01-05 14:20:00+00:00,2022-01-05 16:15:00+00:00
SILVER FIRDA,Tromsø,Sortland,2022-01-06 02:00:00+00:00,2022-01-06 15:00:00+00:00
HAVDRON,Bergen,Averøy,2022-01-05 15:45:00+00:00,2022-01-06 11:00:00+00:00
EIDSVAAG OMEGA,Bergeneset,Gjesvær,2022-01-07 15:00:00+00:00,2022-01-09 00:01:00+00:00
HOLMFOSS,Tromsø,Tromsø,2022-01-07 12:00:00+00:00,2022-01-07 13:00:00+00:00
AQUA FJELL,Florø,Ålesund,2022-01-06 06:00:00+00:00,2022-01-06 14:00:00+00:00
NORMAND FERKING,Sløvåg,Mongstadbase,2022-01-06 10:00:00+00:00,2022-01-06 11:00:00+00:00
FRAKT SUND,Klaipeda,Herøya,2022-01-06 11:00:00+00:00,2022-01-08 13:00:00+00:00
DELIA,Stavanger Øst,Averøy,2022-01-07 22:30:00+00:00,2022-01-09 10:30:00+00:00
IVS PHOENIX,Narvik Reden,Narvik,2022-01-08 10:25:00+00:00,2022-01-08 13:25:00+00:00
ATLANTIC,Tromsø,Barentshavet,2022-01-10 22:00:00+00:00,2022-01-11 22:00:00+00:00
STRIL HERKULES,Nordsjøen,Ågotnes,2022-01-06 23:00:00+00:00,2022-01-07 07:00:00+00:00
ROBRIS,Florø,Gulen,2022-01-06 20:00:00+00:00,2022-01-07 01:00:00+00:00
HAVILA JUPITER,Offshoreinst Halten-Helgeland,Mongstadbase,2022-01-06 18:15:00+00:00,2022-01-07 15:00:00+00:00
BAARDSUND ,Omastranda,Storøya Øst,2022-01-06 13:30:00+00:00,2022-01-06 22:40:00+00:00
SVARTFOSS,Botnaneset - Flora,Gunhildvågen,2022-01-06 22:15:00+00:00,2022-01-07 03:00:00+00:00
HAV SAGA,Stavanger Øst,Tau,2022-01-07 05:25:00+00:00,2022-01-07 07:22:00+00:00
SCANBIO DART,Alta,Hammerfest,2022-01-06 00:00:00+00:00,2022-01-06 12:00:00+00:00
KUMPULA,Bremen,Narvik Reden,2022-01-05 16:00:00+00:00,2022-01-09 16:45:00+00:00
SHPITCBERGEN,Ålesund,Fiskarstrand,2022-01-11 12:55:00+00:00,2022-01-11 13:45:00+00:00
MEANDI,Rotterdam,Moss,2022-01-10 06:36:00+00:00,2022-01-11 11:30:00+00:00
KEY EAST,Kaliningrad,Husøy - Karmøy,2022-01-06 23:15:00+00:00,2022-01-09 15:30:00+00:00
FEED FISKAA,Kristiansand,Moss,2022-01-08 14:40:00+00:00,2022-01-09 07:15:00+00:00
WILSON WESER,Stokmarknes,Mo i Rana,2022-01-11 00:25:00+00:00,2022-01-14 19:00:00+00:00
BOTHNIA,Byggnes - Karmøy,St Petersburg,2022-01-08 16:40:00+00:00,2022-01-13 22:59:00+00:00
CABAL,Vikan - Bodø,Tomma,2022-01-07 21:00:00+00:00,2022-01-08 06:00:00+00:00
AURORA GALAXY,Offshoreinst. Nordsjøen,Mongstadbase,2022-01-08 00:30:00+00:00,2022-01-08 09:30:00+00:00
POLFOSS,Måløy,Måløy,2022-01-08 14:30:00+00:00,2022-01-08 15:00:00+00:00
HAVSTRAND,Offshore,Ålesund,2022-01-06 13:00:00+00:00,2022-01-09 17:00:00+00:00
SCANTANK,Storøya Øst,Eide - Sotra,2022-01-08 09:45:00+00:00,2022-01-08 16:00:00+00:00
EVINCO,Mongstad,Göteborg,2022-01-06 08:00:00+00:00,2022-01-07 17:00:00+00:00
WILSON AMSTERDAM,Freifjorden 1 Ankring,Valsneset,2022-01-04 09:40:00+00:00,2022-01-04 18:15:00+00:00
STAVANGERFJORD,Rekstafjorden,Florø,2022-01-02 22:30:00+00:00,2022-01-02 23:00:00+00:00
YASA PELICAN,Mongstad,New York,2022-01-04 23:36:00+00:00,2022-01-19 05:00:00+00:00
MEERDIJK,Herøya,Abu Kir,2022-01-01 18:20:00+00:00,2022-01-14 10:00:00+00:00
HAGLAND CARRIER ,Storesund,Nakskov,2022-01-01 04:25:00+00:00,2022-01-03 09:00:00+00:00
STRIL ORION,Brattvåg,Brattvåg,2022-01-02 08:00:00+00:00,2022-01-02 22:00:00+00:00
AURORA EXPLORER,Tromsø,Tromsø,2022-01-01 08:00:00+00:00,2022-01-01 14:40:00+00:00
STADT FLORO,Sløvåg Industriområde,Buefjorden,2022-01-01 22:00:00+00:00,2022-01-02 13:00:00+00:00
ROVA STONES,Rekefjord,Wilhelmshaven,2022-01-02 05:00:00+00:00,2022-01-03 12:00:00+00:00
BOXER,Brevik,Fredrikstad,2022-01-01 18:00:00+00:00,2022-01-02 00:00:00+00:00
BEGONIA SEAWAYS,Brevik,Göteborg,2022-01-03 17:00:00+00:00,2022-01-04 00:00:00+00:00
RONJA MALOY,Leirvik,Fiskå - Strand,2022-01-01 19:00:00+00:00,2022-01-02 01:00:00+00:00
KRYSSHOLM,Myre-Øksnes,Fauske,2022-01-01 17:00:00+00:00,2022-01-02 17:00:00+00:00
NORNE,Drammen,Varberg,2022-01-02 20:50:00+00:00,2022-01-03 15:00:00+00:00
OLYMPUS,Tromsø,Tromsø,2022-01-09 03:00:00+00:00,2022-01-09 03:22:00+00:00
OSTERFJORD,Torangsvåg,Ålesund,2022-01-02 11:00:00+00:00,2022-01-03 05:00:00+00:00
SUPERSPEED 2,Larvik,Hirtshals,2022-01-02 16:30:00+00:00,2022-01-02 20:15:00+00:00
HORISONT III,Kristiansand,Nordsjøen,2022-01-02 16:21:00+00:00,2022-01-02 23:01:00+00:00
SAYAN PRINCE,Skipavik-Gulen,Åmøyfjorden,2022-01-03 14:00:00+00:00,2022-01-04 09:00:00+00:00
NORTH SEA GIANT,Randaberg,Åmøyfjorden,2022-01-03 01:30:00+00:00,2022-01-03 03:00:00+00:00
RO VISION,Nordskaget - Frøya,Nordskaget - Frøya,2022-01-02 22:59:00+00:00,2022-01-02 23:00:00+00:00
FOLLA,Ågotnes,Ålesund,2022-01-03 10:00:00+00:00,2022-01-03 22:00:00+00:00
WITH JUNIOR,Harstad ,Bergeneset,2022-01-02 21:30:00+00:00,2022-01-03 06:30:00+00:00
LAKE DOLPHIN,Narvik,Qatar,2022-01-04 20:25:00+00:00,2022-02-02 11:00:00+00:00
MAUD,Ålesund,Brønnøysund,2022-01-01 17:00:00+00:00,2022-01-02 14:00:00+00:00
TERNFJORD,Slagentangen,Skålevik,2022-01-01 23:20:00+00:00,2022-01-03 15:15:00+00:00
CSL TRIMNES,Lessremman,Elnesvågen,2022-01-01 12:12:00+00:00,2022-01-02 09:12:00+00:00
SEVEN OCEANIC,Mekjarvik,Rotterdam,2022-01-02 23:30:00+00:00,2022-01-04 12:00:00+00:00
JSP SKIRNER,Ikornnes,Bremerhaven,2022-01-04 02:55:00+00:00,2022-01-08 07:08:00+00:00
VS SPIRIT,Slagentangen,"Ukjent lokasjon, ukjent land",2022-01-01 13:00:00+00:00,2022-01-02 10:59:00+00:00
BOKA TOPAZ,Alvika,Blyth,2022-01-03 14:00:00+00:00,2022-01-05 11:00:00+00:00
SOUTHERN LINER,Ottersøy,Rørvik,2022-01-06 07:00:00+00:00,2022-01-06 07:30:00+00:00
FS AQUARIUS,Kristiansund,Hemnskjela Ankring,2022-01-03 09:00:00+00:00,2022-01-03 21:00:00+00:00
FROYA,Herøya,Fredericia,2022-01-01 21:00:00+00:00,2022-01-03 05:00:00+00:00
WILSON CORK,Thamshamn,Murmansk,2022-01-05 01:30:00+00:00,2022-01-08 05:00:00+00:00
WILSON NARVIK,Ålvik,Tofte - Hurum,2022-01-01 22:30:00+00:00,2022-01-03 06:40:00+00:00
EPIC ST. CROIX,Mongstad,Antwerpen,2022-01-03 22:30:00+00:00,2022-01-05 00:30:00+00:00
VIKING QUEEN,Offshoreinst. Nordsjøen,Botnaneset - Flora,2022-01-02 02:30:00+00:00,2022-01-02 14:30:00+00:00
SVEALAND,Finnsnes,Tromsø,2022-01-03 07:40:00+00:00,2022-01-03 11:00:00+00:00
RONJA CARRIER,Leirvik,Boknafjorden,2022-01-02 06:12:00+00:00,2022-01-02 11:18:00+00:00
NESEJENTA,Hammerfest,Barentshavet,2022-01-02 14:30:00+00:00,2022-01-02 18:20:00+00:00
SAMSKIP KVITBJORN,Bergen,Fusa,2022-01-02 17:00:00+00:00,2022-01-02 19:45:00+00:00
REM STAR,Sløvåg Industriområde,Mongstadbase,2022-01-03 05:30:00+00:00,2022-01-03 06:30:00+00:00
FALKVIK,Helle - Forsand,Laksevåg,2022-01-02 22:30:00+00:00,2022-01-03 11:30:00+00:00
AQUA HOMBOROY,Vikan - Smøla,Holla,2022-01-01 07:30:00+00:00,2022-01-01 12:15:00+00:00
RONJA MALOY,Fiskå - Strand,Fiskå - Strand,2022-01-03 07:00:00+00:00,2022-01-03 08:00:00+00:00
ELISABETH,Langevåg,Rubbestadneset,2022-01-03 08:50:00+00:00,2022-01-03 10:30:00+00:00
MERCATOR,Odda,Breiviga,2022-01-03 13:00:00+00:00,2022-01-04 04:00:00+00:00
RO FORTUNE,Skjervøy,Alta,2022-01-03 02:30:00+00:00,2022-01-03 11:00:00+00:00
ECO DREAM,Mongstad,Antwerpen,2022-01-07 17:30:00+00:00,2022-01-08 16:00:00+00:00
HAVILA CAPELLA,Bergen,Kirkenes,2022-01-03 14:00:00+00:00,2022-01-09 08:00:00+00:00
VARGOY,Øksfjord,Alta,2022-01-04 07:00:00+00:00,2022-01-04 10:30:00+00:00
VAITERE 2,Trondheim,Verdal,2022-01-03 15:00:00+00:00,2022-01-03 19:00:00+00:00
NAVITA,Rotterdam,Sarpsborg,2022-01-05 04:00:00+00:00,2022-01-07 03:00:00+00:00
BERGENSFJORD,Bergen,Risavika,2022-01-04 15:15:00+00:00,2022-01-04 21:30:00+00:00
NORNE,Varberg,Wismar,2022-01-04 20:00:00+00:00,2022-01-05 17:00:00+00:00
WILSON LAHN,Helsingborg,Stavanger Øst,2022-01-04 13:00:00+00:00,2022-01-06 07:20:00+00:00
BUVIK,Horsens,Eydehavn - Arendal,2022-01-04 21:00:00+00:00,2022-01-05 16:30:00+00:00
STAVFJORD,Stralsund,Drammen,2022-01-05 17:00:00+00:00,2022-01-07 11:20:00+00:00
DUBAI CHARM,Skagen,Mongstad,2022-01-03 07:30:00+00:00,2022-01-08 03:30:00+00:00
MYS KORSAKOVA,Murmansk,Kirkenes,2022-01-06 12:00:00+00:00,2022-01-07 06:30:00+00:00
WILSON WAAL,Botnaneset - Flora,Montrose,2022-01-10 14:30:00+00:00,2022-01-12 13:30:00+00:00
DINA STAR,Killingøy,Storesund,2022-01-06 15:00:00+00:00,2022-01-06 16:00:00+00:00
HAVBRYN,Ålesund,Offshore,2022-01-05 21:00:00+00:00,2022-01-07 17:00:00+00:00
CIMIL,Fredrikstad,Dordrecht,2022-01-07 14:00:00+00:00,2022-01-09 11:59:00+00:00
HOPSFJORD,Vinjeøra,Visnes - Eide,2022-01-05 15:00:00+00:00,2022-01-05 19:45:00+00:00
WITH MARINE,Skånevikfjorden,Nedstrandsfjorden,2022-01-05 14:00:00+00:00,2022-01-05 19:00:00+00:00
CETUS,Husøy - Karmøy,Nordsjøen,2022-01-05 14:40:00+00:00,2022-01-06 09:00:00+00:00
MAGNE ARVESEN,Barentshavet,Tromsø,2022-01-06 17:00:00+00:00,2022-01-06 22:00:00+00:00
WITH FROHAVET,Vadheim,Bygstad,2022-01-05 19:00:00+00:00,2022-01-06 03:00:00+00:00
RO FJORD,Kalvneset,Eggesbønes,2022-01-05 19:00:00+00:00,2022-01-06 03:00:00+00:00
BROTHERS RS,Finnfjordbotn,Leirpollen,2022-01-05 19:20:00+00:00,2022-01-06 21:45:00+00:00
POLAR REX,Ålesund,Måløy,2022-01-04 10:40:00+00:00,2022-01-04 18:00:00+00:00
SHPITCBERGEN,Tromsø,Barentshavet,2022-01-02 16:40:00+00:00,2022-01-03 17:00:00+00:00
VERDI,Herøya,"Ukjent lokasjon, ukjent land",2022-01-03 14:10:00+00:00,2022-01-05 14:10:00+00:00
PLUTO,Sarpsborg,Jøssingfjord,2022-01-03 08:00:00+00:00,2022-01-04 02:55:00+00:00
STAVANGERFJORD,Mortavika,Florø,2022-01-02 12:00:00+00:00,2022-01-03 00:00:00+00:00
LONGVIND,Drammen,København,2022-01-03 19:40:00+00:00,2022-01-04 18:00:00+00:00
GOLFSTRAUM,Storesund,Tjeldbergodden,2022-01-08 15:55:00+00:00,2022-01-09 17:40:00+00:00
SVARTFOSS,Kirkenes,Havøysund,2022-01-01 09:00:00+00:00,2022-01-02 00:30:00+00:00
PEARL SEAWAYS,Oslo,Frederikshavn,2022-01-01 13:15:00+00:00,2022-01-01 23:15:00+00:00
SEVEN VEGA,Offshoreinst. Nordsjøen,Dusavik,2022-01-01 04:00:00+00:00,2022-01-01 14:45:00+00:00
WILSON TEES,Stokmarknes,Lillebukt,2022-01-03 12:00:00+00:00,2022-01-06 07:00:00+00:00
LIKYA THERESA,Mongstadbase,Kristiansund,2022-01-03 04:45:00+00:00,2022-01-04 08:00:00+00:00
ANTIGUA,Rotsundet,Tromsø,2022-01-01 11:00:00+00:00,2022-01-01 19:20:00+00:00
SKANDI VEGA,Sløvåg,Offshoreinst. Nordsjøen,2022-01-01 12:00:00+00:00,2022-01-01 22:59:00+00:00
AASFJELL,Sløvåg Industriområde,Vordingborg,2022-01-04 10:00:00+00:00,2022-01-05 17:00:00+00:00
BOMAR QUEST,Bützfleth,Tjeldbergodden,2022-01-01 14:00:00+00:00,2022-01-03 15:30:00+00:00
EDDA FERD,Offshoreinst. Nordsjøen,Kristiansund,2022-01-01 17:35:00+00:00,2022-01-02 00:20:00+00:00
NORDSO,Thisted,Egersund,2022-01-01 21:00:00+00:00,2022-01-02 09:30:00+00:00
SUPERSPEED 1,Hirtshals,Kristiansand,2022-01-02 11:15:00+00:00,2022-01-02 14:30:00+00:00
CORALIUS,Göteborg,Risavika,2022-01-02 13:00:00+00:00,2022-01-03 10:50:00+00:00
AUTOPROGRESS,Oslo,Wallhamn,2022-01-03 17:00:00+00:00,2022-01-04 03:30:00+00:00
SVEALAND,Ottersøy,Leirfjord,2022-01-01 09:50:00+00:00,2022-01-01 18:30:00+00:00
VIKING PRINCESS,Offshoreinst. Nordsjøen,Mongstadbase,2022-01-02 15:35:00+00:00,2022-01-02 22:30:00+00:00
STEINAR OLAISEN,Sørarnøy,Bodø,2022-01-02 14:25:00+00:00,2022-01-02 16:10:00+00:00
REISA,Skjervøy,Tromsø,2022-01-03 00:00:00+00:00,2022-01-03 05:30:00+00:00
OTTO SVERDRUP,Narvik,Kristiansund,2022-01-06 18:00:00+00:00,2022-01-08 07:00:00+00:00
HERMES,Tromsø,Offshore,2022-01-03 22:30:00+00:00,2022-01-04 17:00:00+00:00
KYST,Harstad ,Narvik,2022-01-02 22:20:00+00:00,2022-01-03 07:30:00+00:00
BOURBON MONSOON,Snorre,Botnaneset - Flora,2022-01-03 04:30:00+00:00,2022-01-03 13:30:00+00:00
KYST,Narvik,Sjøvegan,2022-01-03 09:05:00+00:00,2022-01-03 20:00:00+00:00
SVARTFOSS,Kårvikhamn,Senjahopen,2022-01-03 17:18:00+00:00,2022-01-03 19:00:00+00:00
TANIA,Årdalstangen,Skagen,2022-01-15 07:00:00+00:00,2022-01-17 19:00:00+00:00
MSC ELKE F,Larvik,Brevik,2022-01-06 03:54:00+00:00,2022-01-06 06:30:00+00:00
RO CHIEF,Follafoss,Halsa,2022-01-03 09:15:00+00:00,2022-01-04 00:00:00+00:00
BJORG PAULINE,Bjarkøy,Stokmarknes,2022-01-03 12:15:00+00:00,2022-01-03 21:00:00+00:00
SCAN FJORD,Tønsberg,Kristiansand,2022-01-03 18:40:00+00:00,2022-01-04 07:39:00+00:00
RONJA EXPLORER,Rørvik,Herøy ferjekai,2022-01-02 01:30:00+00:00,2022-01-02 09:30:00+00:00
SMØLA VIKING,Leknes,Bodø,2022-01-04 08:00:00+00:00,2022-01-04 13:00:00+00:00
HAVILA FORESIGHT,Sløvåg Industriområde,Mongstadbase,2022-01-04 10:30:00+00:00,2022-01-04 12:00:00+00:00
NYVING,Helle - Forsand,Husøy - Karmøy,2022-01-04 08:00:00+00:00,2022-01-04 13:00:00+00:00
NYSAND,Helle - Forsand,Husøy - Karmøy,2022-01-02 18:05:00+00:00,2022-01-02 22:50:00+00:00
NYFJELL,Bøneset - Karmøy,Jelsa,2022-01-04 14:00:00+00:00,2022-01-04 17:00:00+00:00
TROMS SIRIUS,Dusavik,Offshoreinst. Nordsjøen,2022-01-05 14:00:00+00:00,2022-01-06 05:00:00+00:00
CABAL,Mo i Rana,Austvika,2022-01-05 10:30:00+00:00,2022-01-05 13:30:00+00:00
SCAN FJORD,Husnes,Håvik,2022-01-05 16:15:00+00:00,2022-01-05 19:48:00+00:00
EDDA FERD,Kristiansund,Offshoreinst. Nordsjøen,2022-01-05 21:15:00+00:00,2022-01-06 03:30:00+00:00
WILSON MONSOON,Stettin,Thamshamn,2022-01-05 11:00:00+00:00,2022-01-09 07:20:00+00:00
SPIRIT,Kristiansand,Rotterdam,2022-01-09 07:55:00+00:00,2022-01-10 09:00:00+00:00
SVEN D,Rotterdam,Oslo,2022-01-08 15:15:00+00:00,2022-01-09 20:31:00+00:00
RO SERVER,Florø,Askvoll,2022-01-05 19:30:00+00:00,2022-01-05 21:30:00+00:00
TROMS POLLUX,Offshoreinst. Barentshavet,Rypefjord,2022-01-05 22:00:00+00:00,2022-01-06 02:00:00+00:00
DOGGI,Barentshavet,Båtsfjord,2022-01-05 23:00:00+00:00,2022-01-06 02:00:00+00:00
RONJA MERDO,Hjelmeland,Vikedal,2022-01-06 04:00:00+00:00,2022-01-06 10:00:00+00:00
LANGSUND,Bergen,Fitjar,2022-01-06 07:00:00+00:00,2022-01-06 13:00:00+00:00
GAS MYTH,Skagen,Rafnes,2022-01-11 21:00:00+00:00,2022-01-12 08:42:00+00:00
NORMAND FERKING,Mongstadbase,Offshoreinst. Nordsjøen,2022-01-06 14:10:00+00:00,2022-01-07 05:00:00+00:00
SEASHARK,Rotterdam,Mongstad,2022-01-04 14:06:00+00:00,2022-01-10 01:18:00+00:00
SVARTFOSS,Liavåg,Botnaneset - Flora,2022-01-06 18:20:00+00:00,2022-01-06 21:20:00+00:00
WILSON DIEPPE,Florø,Ukjent lokasjon Norge,2022-01-11 14:00:00+00:00,2022-01-12 09:00:00+00:00
NCL AVEROY,Averøy,Orkanger,2022-01-09 13:30:00+00:00,2022-01-09 19:40:00+00:00
DOGGI,Båtsfjord,Barentshavet,2022-01-06 21:00:00+00:00,2022-01-07 00:00:00+00:00
HORDA PIONEER,Byfjorden - Bergen,Kollsnes Øst,2022-01-05 14:45:00+00:00,2022-01-05 23:15:00+00:00
KONTICH,Kårstø,"Ukjent lokasjon, ukjent land",2022-01-01 00:59:00+00:00,2022-01-01 22:59:00+00:00
GAS GALAXY,Frierfjorden Ankring,Rafnes,2022-01-08 16:00:00+00:00,2022-01-08 16:30:00+00:00
VIKING VENUS,Bergen,Narvik,2022-01-25 12:30:00+00:00,2022-01-27 08:00:00+00:00
FEDERAL KUMANO,Fredrikstad,St. Petersburg,2022-01-02 08:00:00+00:00,2022-01-05 09:30:00+00:00
OTTO SVERDRUP,Brønnøysund,Svolvær,2022-01-01 18:00:00+00:00,2022-01-02 08:00:00+00:00
WILSON LUGA,Stokmarknes,Nordsjøen,2022-01-02 10:30:00+00:00,2022-01-03 11:00:00+00:00
VESTTIND,Tromsø,Barentshavet,2022-01-04 19:40:00+00:00,2022-01-04 23:30:00+00:00
ERNE,Fonnesflaket Ankring,Mongstad,2022-01-01 03:42:00+00:00,2022-01-01 05:24:00+00:00
SC CONNECTOR,Risavika,Farsund,2022-01-01 04:00:00+00:00,2022-01-01 11:00:00+00:00
ARIF AMCA,Skjerkøya,Göteborg,2022-01-06 05:40:00+00:00,2022-01-06 15:00:00+00:00
JSP SLEIPNER,Måløy,Ålesund,2022-01-03 03:00:00+00:00,2022-01-03 07:00:00+00:00
CL ATLAS,Herøya,Vlissingen,2022-01-05 19:30:00+00:00,2022-01-06 21:00:00+00:00
ICE,Sandnes,Sauda,2022-01-01 14:30:00+00:00,2022-01-01 19:05:00+00:00
JSP SKIRNER,Bergen,Florø,2022-01-01 18:00:00+00:00,2022-01-02 01:15:00+00:00
ONEGO TRAVELLER,Årdalstangen,Åheim,2022-01-02 07:00:00+00:00,2022-01-03 06:08:00+00:00
GAS GALAXY,Rafnes,Stenungsund,2022-01-09 03:50:00+00:00,2022-01-09 15:50:00+00:00
VOLANTIS,Killingøy,Killingøy,2022-01-19 08:00:00+00:00,2022-01-20 19:25:00+00:00
MITO,Kristiansand,København,2022-01-02 10:30:00+00:00,2022-01-03 05:00:00+00:00
PEAK BREMEN,Sløvåg Industriområde,Verdal,2022-01-01 21:00:00+00:00,2022-01-03 06:00:00+00:00
NEPTUN,Kirkenes,Kirkenes,2022-01-03 09:00:00+00:00,2022-01-03 10:00:00+00:00
TERNHAV,Sortland,Göteborg,2022-01-02 12:15:00+00:00,2022-01-06 19:00:00+00:00
SKANDI BARRA,Offshoreinst. Nordsjøen,Botnaneset - Flora,2022-01-01 07:00:00+00:00,2022-01-01 16:00:00+00:00
SEVEN FALCON,Randaberg,Dusavik,2022-01-03 15:00:00+00:00,2022-01-03 16:40:00+00:00
ISLAND CRUSADER,Stavanger,Tananger,2022-01-01 20:30:00+00:00,2022-01-01 22:45:00+00:00
SIEM SYMPHONY,Risavika,Offshoreinst. Nordsjøen,2022-01-01 15:00:00+00:00,2022-01-02 03:00:00+00:00
RO VISION,Trondheim,Nordskaget - Frøya,2022-01-01 13:00:00+00:00,2022-01-01 16:00:00+00:00
REM ART ,Offshoreinst Halten-Helgeland,Kristiansund,2022-01-02 02:50:00+00:00,2022-01-02 22:00:00+00:00
RO CHIEF,Trondheim,Follafoss,2022-01-02 10:00:00+00:00,2022-01-02 14:00:00+00:00
WILSON ELBE,Herøya,Stettin,2022-01-05 02:00:00+00:00,2022-01-06 11:00:00+00:00
WITH HARVEST,Valsneset,Kristiansund,2022-01-01 22:00:00+00:00,2022-01-02 20:00:00+00:00
SVEALAND,Risøyhamn,Harstad ,2022-01-02 19:45:00+00:00,2022-01-02 22:15:00+00:00
ROBRIS,Florø,Haugsøytangen Ankring,2022-01-01 09:15:00+00:00,2022-01-01 15:45:00+00:00
OTTO SVERDRUP,Kristiansund,Bergen,2022-01-08 14:00:00+00:00,2022-01-09 08:00:00+00:00
HOLMFOSS,Tromsø,Kirkenes,2022-01-03 09:00:00+00:00,2022-01-04 10:00:00+00:00
NORMAND SERVER,Risavika,Egersund,2022-01-06 10:00:00+00:00,2022-01-06 14:30:00+00:00
STAVANGERFJORD,Bergen,Risavika,2022-01-03 12:28:00+00:00,2022-01-03 18:10:00+00:00
STORMHAV,Tromsø,Barentshavet,2022-01-05 21:10:00+00:00,2022-01-06 15:00:00+00:00
WITH JUNIOR,Herøy ferjekai,Bodø,2022-01-01 16:30:00+00:00,2022-01-02 01:30:00+00:00
WITH JUNIOR,Tovik,Harstad ,2022-01-02 16:30:00+00:00,2022-01-02 17:00:00+00:00
ROSTEIN,Lafjorden,Alta,2022-01-02 09:15:00+00:00,2022-01-02 19:50:00+00:00
SOLA TS,Tranmere,Kårstø,2022-01-03 00:30:00+00:00,2022-01-07 11:24:00+00:00
STRIL POLAR,Offshoreinst. Nordsjøen,Risavika,2022-01-01 01:00:00+00:00,2022-01-01 12:00:00+00:00
NORMAND FORTUNE,Ekofisk,Risavika,2022-01-01 13:05:00+00:00,2022-01-02 03:00:00+00:00
SANDNES,Northfleet,Jelsa,2022-01-01 00:00:00+00:00,2022-01-02 17:30:00+00:00
NORA THOMSEN,Drammen,Tyborøn,2022-01-03 06:00:00+00:00,2022-01-04 10:59:00+00:00
JSP CARLA,Oslo,Moss,2022-01-03 11:15:00+00:00,2022-01-03 14:15:00+00:00
PEAK SAUDA,Sauda,Belfast,2022-01-02 17:30:00+00:00,2022-01-07 00:00:00+00:00
HOYDAL,Myre-Øksnes,Sandnessjøen,2022-01-01 14:30:00+00:00,2022-01-03 20:00:00+00:00
ATLANTIC STAR,Bodø,Barentshavet,2022-01-01 21:30:00+00:00,2022-01-02 13:00:00+00:00
STEIGEN,Bodø,Nordfold,2022-01-02 01:15:00+00:00,2022-01-02 05:00:00+00:00
SUPERSPEED 1,Kristiansand,Hirtshals,2022-01-02 07:00:00+00:00,2022-01-02 10:15:00+00:00
PIONEER KNUTSEN,Risavika,Mosjøen,2022-01-02 12:00:00+00:00,2022-01-04 14:00:00+00:00
THUN EMPOWER,Kristiansund,Bodø,2022-01-04 04:20:00+00:00,2022-01-05 09:00:00+00:00
THUN EMPOWER,Bodø,Fonnesflaket Ankring,2022-01-05 23:25:00+00:00,2022-01-07 19:45:00+00:00
REM ARCTIC,Offshoreinst. Nordsjøen,Dusavik,2022-01-02 19:10:00+00:00,2022-01-03 07:00:00+00:00
SCOTT SPIRIT,Karlsmedgrunnen Ankring,Nordsjøen,2022-01-03 11:00:00+00:00,2022-01-04 11:00:00+00:00
HOPSFJORD,Bodø,Hammerfall,2022-01-02 15:30:00+00:00,2022-01-02 21:00:00+00:00
UBC CORK,Ølen,Bøvågen - Karmøy,2022-01-03 13:36:00+00:00,2022-01-03 19:36:00+00:00
NORMAND ARCTIC,Offshoreinst. Nordsjøen,Risavika,2022-01-02 18:50:00+00:00,2022-01-03 08:00:00+00:00
SCAN FJORD,Oslo,Tønsberg,2022-01-03 10:01:00+00:00,2022-01-03 18:30:00+00:00
ICE,Trondheim,Mo i Rana,2022-01-04 13:55:00+00:00,2022-01-05 09:50:00+00:00
MEANDI,Rotterdam,Oslo,2022-01-04 18:42:00+00:00,2022-01-06 08:00:00+00:00
KEY MARIN,Rønningen,Botnaneset - Flora,2022-01-05 03:24:00+00:00,2022-01-06 19:30:00+00:00
VIKNATRANS,Ottersøy,Sandnessjøen,2022-01-03 08:30:00+00:00,2022-01-03 16:00:00+00:00
