fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt,dep_lat,dep_lon,arr_lat,arr_lon
NORDERVEG,Austevoll,Haugesund,2022-01-02 15:04:00+00:00,2022-01-02 19:30:00+00:00,60.0603843,4.9432963,59.4682478,5.0827612
G O SARS,Bergen,Måløy,2022-01-07 07:00:00+00:00,2022-01-07 19:00:00+00:00,60.3943055,5.3259192,61.9336888,5.1129133
SKJONGHOLM,Tromsø,Offshoreinst. Barentshavet,2022-01-02 17:25:00+00:00,2022-01-03 05:25:00+00:00,69.6516345,18.9558585,,
SJOVIK,Kristiansand,Nordsjøen,2022-01-02 16:11:00+00:00,2022-01-02 22:12:00+00:00,58.0856276,7.931858,56.00276,3.000129
GÅSØ FREYJA,Sistranda,Kristiansund,2022-01-04 15:20:00+00:00,2022-01-04 20:40:00+00:00,63.7301981,8.8297021,63.2168194,7.545259
ASBJORN SELSBANE,Tromsø,Barentshavet,2022-01-04 17:10:00+00:00,2022-01-05 03:00:00+00:00,69.6516345,18.9558585,74.3478217,37.809937
HALTBAKK NAVIGATOR,Fjelldal,Sandnessjøen,2022-01-04 22:30:00+00:00,2022-01-05 20:00:00+00:00,68.5560252,16.5260596,66.0215451,12.6317232
KYSTBUNKER,Åheim,Kristiansund,2022-01-04 21:00:00+00:00,2022-01-05 10:00:00+00:00,62.0360845,5.5306672,63.2168194,7.545259
NORDTIND,Barentshavet,Melbu,2022-01-05 01:00:00+00:00,2022-01-05 10:00:00+00:00,74.3478217,37.809937,36.6403282,5.3626372
SUPERSPEED 2,Larvik,Hirtshals,2022-01-05 07:00:00+00:00,2022-01-05 10:45:00+00:00,59.0967308,10.02193,57.5908031,9.9649737
JOHAN HJORT,Bergen,Hanstholm,2022-01-06 12:00:00+00:00,2022-01-12 14:00:00+00:00,60.3943055,5.3259192,57.1150165,8.6144947
BALDVIN,Tromsø,Tromsø,2022-01-07 10:00:00+00:00,2022-01-07 12:00:00+00:00,69.6516345,18.9558585,69.6516345,18.9558585
WALTER HAMMANN,Vordingborg,Stavanger Øst,2022-01-05 13:00:00+00:00,2022-01-07 19:00:00+00:00,55.0102518,11.9097478,58.9694029,5.7579687
FREYJA W,Høgset,Rotterdam,2022-01-06 22:00:00+00:00,2022-01-09 19:00:00+00:00,62.6602761,6.6582743,51.9244424,4.47775
FEED TRONDHEIM,Eydehavn - Arendal,Wismar,2022-01-05 14:15:00+00:00,2022-01-06 23:00:00+00:00,58.4998259,8.8644089,53.8909832,11.4647932
CLIPPER EOS,Rafnes,Frierfjorden Ankring,2022-01-09 04:42:00+00:00,2022-01-09 05:12:00+00:00,59.1027833,9.5788944,,
STEINEVIK,Ålesund,Ålesund,2022-01-05 11:50:00+00:00,2022-01-05 13:20:00+00:00,62.4802363,6.5550739,62.4802363,6.5550739
FJORDNES,Jelsa,Aarhus,2022-01-09 03:06:00+00:00,2022-01-10 20:00:00+00:00,43.1608097,16.6931431,56.1496278,10.2134046
NYFJELL,Årdal - Hjelmeland,Bergen,2022-01-05 16:30:00+00:00,2022-01-06 06:00:00+00:00,59.1508412,6.1811957,60.3943055,5.3259192
SCAN TRANS,Bjugn,Herøy ferjekai,2022-01-05 15:00:00+00:00,2022-01-06 14:00:00+00:00,63.7649663,9.808629,65.9682415,12.2874316
VERMLAND,Stavanger Øst,Eidi,2022-01-05 19:15:00+00:00,2022-01-07 21:00:00+00:00,58.9694029,5.7579687,62.2996078,-7.0910428
AMALIE,Risavika,Risavika,2022-01-03 07:05:00+00:00,2022-01-03 07:20:00+00:00,58.9266035,5.598135,58.9266035,5.598135
MISANA,Årdalstangen,Høyanger,2022-01-06 21:45:00+00:00,2022-01-07 05:40:00+00:00,61.236136,7.7025037,61.1254821,5.8141394
MISANA,Håvik,Husøy - Karmøy,2022-01-08 11:55:00+00:00,2022-01-08 12:40:00+00:00,59.3199898,5.2893224,59.3403428,5.3070642
AQUA HOMBOROY,Holla,Vikan - Smøla,2022-01-01 22:50:00+00:00,2022-01-02 03:20:00+00:00,-24.2258,29.8475,63.3800372,8.1955097
ICE,Ørsta,Trondheim,2022-01-03 21:30:00+00:00,2022-01-04 10:55:00+00:00,62.2470538,6.2859368,63.4304475,10.3952118
HARALD MARTIN,Torsken,Stokmarknes,2022-01-03 07:55:00+00:00,2022-01-03 17:30:00+00:00,69.3520444,17.0457813,68.5670003,14.9133484
ISLAND CONTENDER,Risavika,Stavanger,2022-01-03 15:00:00+00:00,2022-01-03 17:00:00+00:00,58.9266035,5.598135,58.9699675,5.7318101
FALKSUND,Bøneset - Karmøy,Storesund,2022-01-03 10:30:00+00:00,2022-01-03 11:00:00+00:00,59.36847,5.29295,60.316757,4.984269
TRONDS LAX,Horsøy,Høylandsbygda,2022-01-03 12:00:00+00:00,2022-01-03 17:30:00+00:00,57.9953618,7.5640564,59.7832307,5.8044585
REM HRIST,Dusavik,Stavanger,2022-01-02 17:00:00+00:00,2022-01-03 15:00:00+00:00,58.9971222,5.6656063,58.9699675,5.7318101
